Unnamed: 0,Questions,Correct,A,B,C,D
3773,"What English rock band recorded the 1971 song July Morning?
",Uriah Heep,Uriah Heep,Deep Purple,Pink Floyd,Rainbow
450,"In 2001 Peter Riegert was nominated for an Oscar for his short movie By Courier. He directed it, produced it  and wrote the film adaptation. Who wrote the original story?
",O. Henry,O. Henry,Mark Twain,Don DeLillo,John Grisham
554,"According to Greek myths, this was the first robot which was made by Hephaestus to protect Crete.
",Talos,Rhadamanthys,Talos,Sarpedon,Minos
71,"Who was not at Hermiones table in Herbology?
",Neville,Neville,Ron,They all were,Harry
741,"California is the largest state in North America.
",False,True,False,,
2603,"Dave Couliers first starring TV role was in the Nickelodeon Classic Show Cut it Out!.
",False,True,False,,
2145,"Which British writer wrote the novel  The Island of Sheep, which is partly set on a thinly disguised version of the Faroe Islands?
",John Buchan,Erskine Childers,John Buchan,Somerset Maugham,Dornford Yates
508,"How many people signed the US Declaration of Independence on July 4,1776?
",2,2,55,0,1
2516,"In what year did Emmy Award-winning actress Debra Messing gave birth to her first child?
",2004,2001,2002,2004,1998
820,"According to his self-portrait this leading painter of the Venetian School was a redhead. He painted so many women with red hair that his name became associated with a shade of red.
",Titian,Velasques,Titian,Donatello,Raphael
2125,"The novel Dracula was inspired by the Order of the Dragon.
",True,True,False,,
396,"Which of the following is not an adventure game?
",Raptor: Call of the Shadows,Dragon Lore: The Legend Begins,Raptor: Call of the Shadows,The Nine Lives of the Secret Agent Katt,7th Guest
1890,"The Australian Shepherd is a breed of dog developed in Australia.
",False,True,False,,
1442,"What war began in 1914?
",World War I,Russo-Japanese war,World War I,World War II,Spanish-American war
1053,"Mr. Brownstone is a song performed by Guns N Roses on this 1987 album.
",Appetite for Destruction,Out of the Cellar,Slippery When Wet,Use Your Illusion,Appetite for Destruction
185,"The first line in the movie The Little Mermaid was Flounder, quit being such a guppy!.
",False,False,True,,
1348,"In the movie Adventures in Babysitting, Chris and the kids are on the subway and are caught in the middle of a gang fight. Brad gets a knife stuck in his foot. How many stitches does he need?
",1,2,3,4,1
3450,"The American Holly is the official state tree of this U.S. state.
",Delaware,Illinois,Nevada,Delaware,Georgia
2004,"Did Joyce DeWitt appear in all episodes of Threes Company?
",No,Yes,No,,
754,"The main character in this show whose theme you will hear lived and worked out of his ranch home.
",False,False,True,,
446,"Pigeon and dove fossils are regularly found giving us a lot of information on pigeon evolution?
",False,False,True,,
1058,"This plantation located in Louisiana is said to be haunted by the vengeful ghost of a slave named Chloe, who supposedly murdered the wife and daughters of the owner.
",Myrtles Plantation,Myrtles Plantation,Laura Plantation,Melrose Plantation,Oak Alley Plantation
473,"Exorcist II was an equally huge box office hit, that helped propel Blairs career even further.
",False,False,True,,
3753,"What is the name of Tori Spellings beloved pug?
",Mimi La Rue,Ziggy,Mimi La Rue,Honey,Tinkerbell
4066,"Complete the first sentence of the Declaration of Independence, which has been called one of the best-known sentences in the English language:
"," hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of _____________.",Happiness,Dreams,Happiness,Truth
1061,"This beer brand, which is a German language adjective for something from the city of České Budějoviceis, is often advertised as the King of Beers’.
",Budweiser,Budweiser,Heineken,Corona,Pilsner Urquell
1235,"The babershop tune Lida Rose was sung in which Meredith Wilson musical?
",The Music Man,Beauty and the Beast,Kismet,Porgy and Bess,The Music Man
396,"The worlds first mobile popcorn machine was introduced in Chicago, Illinois in 1885 by this man.
",Charles Cretors,Cloid Smith,Charles Cretors,Felix de Azara,Percy Spencer
225,"Who was the original drummer of the popular rock group The Beatles?
",Pete Best,Pete Best,Stu Sutcliffe,Ringo Starr,John Densmore
554,"Gheorghe Mureşan, one of the tallest players to ever play in the NBA, was born in this country.
",Romania,Uganda,Nigeria,Romania,Sudan
507,"In the Bible, are there any verses that strictly mention “trinity” as a term?
",No,Yes,No,,
560,"Although the state is often called the Wolverine State there are no longer any wolverines in it.
",Michigan,Maryland,Arizona,Michigan,Wyoming
3731,"In what country was Pope Benedict XVI born?
",Germany,Italy,Germany,Spain,England
2684,"Japanese kids always look beautiful on their birthday because they get a brand new set of clothes.
",True,False,True,,
2316,"Approximately how many people claimed to regularly practice Pilates in the United States according to a 2008 survey?
","3,500,000","500,000","12,000","3,500,000","10,000,000"
227,"Which fictional character stated, I dont mind flying, but what youre doing is suicide.?
",Obi Wan Kenobi,Anakin Skywalker,Padme,Obi Wan Kenobi,Mace Windu
1355,"In the comedy film Superbad, Evan is going to attend Yale after he graduates from high school.
",False,True,False,,
2846,"The Tomb of the Unknowns in Arlington National Cemetery, United States, is guarded by members of which military unit?
",3rd US Infantry,11th US Infantry,1st Regiment of Artillery,101st Airborne Division,3rd US Infantry
780,"Jethro Bodine was a character from which of these shows?
",The Beverly Hillbillies,Johnny Quest,The Beverly Hillbillies,Mannix,The Life of Riley
1383,"The first All Star games of baseball were played in Chicago but at which ball park and in what year?
","Comiskey Park, 1933","Comiskey Park, 1935","Wrigley Field, 1935","Wrigley Field, 1933","Comiskey Park, 1933"
20,"Alf from the sitcom series has very few friends outside the Tanners. One of them is the boy that lives with Trevor and Raquel Ochmonek. This is their relation to him.
",He is their nephew.,He is their adopted son.,He is their nephew.,He is their son.,He is their grandchild.
39,"Dont expect to eat something fancy when youre flying ___________________.
",because its plane food,because its plane food,unless you bring your own food,unless youre a good tipper,because its plain food
1181,"What memorial was dedicated on May 30, 1922?
",Lincoln Memorial,Lincoln Memorial,Washington Monument,Marine Corps Memorial,Jefferson Memorial
204,"In Lord of the Rings, what was the name of the bread given by the Elves to the Fellowship?
",Lembas,Sindarin,Athelas,Lembas,Quenya
1950,"The year 1969 was a championship season for all of these New York teams, except this one.
",Rangers,Knicks,Jets,Rangers,Mets
1660,"Director Bob Clark made a cameo in the film A Christmas Story.
",True,True,False,,
2718,"Which is the only UN member not allowed to be on the Security Council?
",Israel,The Congo,Israel,Vietnam,Sudan
2724,"This county, formed in 1714, has Flemington as its county seat.
",Hunterdon County,Somerset County,Hunterdon County,Hudson County,Sussex County
1673,"This Russian writer was the author of The Death of Ivan Ilyich, War and Peace as well as of several essays on vegetarianism.
",Leo Tolstoy,Maxim Gorky,Alexander Pushkin,Leo Tolstoy,Fyodor Dostoevsky
2670,"The first family to have two members climb Mount Everest has this last name.
",Norgay,Branson,Morley,Hillary,Norgay
3140,"This word can mean to jump straight up or a foolish and/or weak person.
",Pronk,Zaber,Pronk,Clouth,Phenalk
454,"Dinosaurs once roamed Colorado and Wyoming.
",True,True,False,,
1428,"Which actress was box office poison because of her series of movie flops and negative fan polls?
",Katharine Hepburn,Both,Katharine Hepburn,Bette Davis,Neither
497,"Of the four nucleotides that make up Deoxyribo-Nucleic Acid (DNA), which of the following is a purine?
",Adenine,Adenine,Cytosine,Proline,Thymine
631,"Dana Dalany played Wyatts wife Mattie in the film Tombstone.
",False,False,True,,
2832,"Never Mind the Bollocks is ranked #41 on Rolling Stones list of greatest albums of all time. Who recorded this album?
",Sex Pistols,The Smyths,The Cure,The Kinks,Sex Pistols
2888,"What is the name of Angelina Jolies first-born biological child?
",Shiloh,Maddox,Zahara,Vivienne,Shiloh
176,"What unit or hero does this phrase belong to?
",Dwarf Rifleman,muradin bronzebeard,Human Footman,Dwarf Rifleman,Throll Hunter
3200,"What year did Donald Trump marry his third wife, Melania Knauss-Trump?
",2005,2005,1999,2000,2001
1873,"Adam Sanlder was Robert Boucher Jr. in this movie. His character suddenly discovers his talent- tackling people much bigger than him.
",The Waterboy,Billy Madison,Mixed Nuts,The Waterboy,Mr. Deeds
2068,"What is a union shop?
",A company in which you have a certain amount of time to join the union after you are hired,A company in which you have a certain amount of time to join the union after you are hired,A company in which you must join the union before you are hired,A company in which you do not have to join a union but you must pay union dues for services provided by the union,A company which does not require employees to join a union
1917,"Chris Cagle performed the song Chicks Dig It.
",True,False,True,,
2572,"Arrow down. Who according to Newsweeks CW 2008 is ill-informed, inarticulate shopaholic that has an ego bigger than Alaska?
",Sarah Palin,Sarah Palin,Condi Rice,Nancy Pelosi,Tina Fey
1603,"What is the missing part from this quote by Keanu Reeves: The simple act of ... can take you a long way?
",paying attention,paying attention,trying something,getting involved,taking a glimpse
1890,"Lentils and beans are rich in fiber, omega-3 acids and calcium.
",True,True,False,,
530,"What is the largest city in Switzerland?
",Zurich,Geneva,Zurich,Bern,Munich
311,"What technique in the Naruto series was created by Kakashi?
",Chidori,Primary lotus,Rasengan,Leaf whirlwind,Chidori
1268,"One of the people who voiced Bambi became a career Marine, served in two theaters of war, but never killed an animal.
",True,True,False,,
950,"In early 6th century BC, the city states of Akragas, Gela, and Syracuse sent ships to the city of Himera in west Sicily, where they defeated an invading force coming from where?
",Carthage,Egypt,Crete,Carthage,Rome
2343,"Which car wins the final race in the movie Redline?
",Saleen S7,Saleen S7,Mercedes-Benz McLaren SLR,Ferrari Enzo,Porsche Carrera GT
3282,"What action star played the lead role in the 1988 movie Bloodsport?
",Jean-Claude Van Damme,Arnold Schwarzenegger,Sylvester Stallone,Bruce Willis,Jean-Claude Van Damme
2962,"Complete these lyrics from Chop Suey!, the first single from System of a Downs album Toxicity:
","ke up,","ab a brush and put a little (makeup),","ab a brush and put a little,",de the scars to fade away the (shakeup),"de the scars to fade away the,"
3011,"In ancient times, it was common for the groom to abduct his bride. The honeymoon originated as a way for the bride and groom to go into hiding after the wedding, to keep the brides family from finding her.
",True,False,True,,
1472,"During what period did the first flowering plants evolve?
",Cretaceous,Silurian,Devonian,Jurassic,Cretaceous
1329,"Character Jan Brady, played by Eve Plumb, only appeared in 69 episodes of the The Brady Bunch show.
",False,True,False,,
468,"On May 11, 1996, eight people died while trying to reach the summit of Mt. Everest, including famed mountain guides Rob Hall and Scott Fischer. Jon Krakauer was one of the survivors. What is the name of Krakauers book that gives his first person account of the events that led to one of the deadest days ever on Mount Everest?
",Into Thin Air,Into Thin Air,Climb,Everest,Into the Wild
825,"Which US President occupied every major non-judicial elected office in the American political system?
",Andrew Johnson,Lyndon Baines Johnson,Andrew Jackson,Andrew Johnson,Howard Taft
3592,"What was the name of 30 Seconds to Mars first headlining tour?
","Forever Night, Never Day","Forever Night, Never Day",Flight of the Pheonix Tour,Red Alert Tour,Guilt Tour
14,"What is the state capital of Arizona?
",Phoenix,Phoenix,Kingman,Tucson,Flagstaff
690,"This Queen consort of France was noted for her political intrigues at the French court. Following the assassination of her husband King Henry IV of France, she acted as regent for her son, King Louis XIII of France, until he came of age.
",Marie de Medici,Marie de Medici,Marie Antoinette,Anne of Austria,Catherine de Medici
3022,"How old was Stella Adler when she made her acting debut?
",4,4,11,14,1
3782,"What actor portrayed the cannibalistic Dr. Hannibal Lecter in the 1991 horror movie The Silence of the Lambs?
",Anthony Hopkins,Dustin Hoffman,Jack Nicholson,Gene Hackman,Anthony Hopkins
1639,"Lorne Michaels innovative idea of using comic talent from improvisational groups such Chicagos Second City and L.A.s The Groundlings made a success for NBCs new program Saturday Night. What comedian, famous for his seven words you cant say on television, was the first guest host?
",George Carlin,George Carlin,Lenny Bruce,Bill Cosby,Richard Pryor
3008,"At weddings it is common for people to toast the bride or groom. The term toast originates from Italy where it was common to place a piece of bread in the bottom of a wine cup for flavor.
",False,True,False,,
3722,"Other than English, what language does Det. Nick Vera speak on the TV series Cold Case?
",Russian,Spanish,Russian,Italian,Hmong
970,"Which of these is not an American writer?
",Joseph Conrad,Eugene ONeill,Ernest Hemingway,Joseph Conrad,John Steinbeck
2091,"Where does the ghost of Bloody Mary appear when summoned according to a popular urban legend?
",In the mirror,In the mirror,On the roof,In the closet,Behind a closed door
355,"Between December 1972 and June 1980, authorities in seven southern California counties reported the violent deaths of 21 young men and boys, attributing their murders to The Freeway Killer. What was this murderers name?
",William George Bonin,William Ray Pugh,Randy Kraft,William George Bonin,Russel Pugh
147,"What year did The Silence of the Lambs make its U.S. debut in movie theatres?
",1991,1993,1990,1991,1994
4711,"Of what disease did Chopin die?
",Tuberculosis,Pancreatic Cancer,Syphilis,A stroke,Tuberculosis
872,"In the 1977 movie Smokie and the Bandit, Burt Reynolds drove a black Ford Taurus.
",False,False,True,,
1466,"Chad Pennington was a first round National Football League draft pick in 1998.
",False,True,False,,
2763,"Who is the psychopathic killer in the 2000 movie American Psycho based on the book by Bret Easton Ellis?
",Patrick Bateman,Steven Dorf,Jason Bateman,Patrick Bateman,John Higgins
1022,"Named after the leading sylph in Alexander Popes poem Rape of the Lock, the moon Ariel is the natural satellite of which planet of the solar system?
",Uranus,Jupiter,Uranus,Neptune,Saturn
1193,"Are badgers the largest native carnivores found in the UK?
",Yes,No,Yes,,
3015,"In the Buffy the Vampire Slayer series, Jenny Calendar is a computer teacher at Sunnydale.
",True,True,False,,
51,"Female drivers have more traffic accidents on Friday the 13th.
",False,True,False,,
956,"Where does most of the action in the novel The Mezzanine take place?
",In the protagonists mind,In line at the office supply store.,In the protagonists mind,On a park bench outside the office.,On the escalator in the Mezzanine.
1106,"As unbelievable as it may seem, seventeen of the worlds twenty largest hotels are located in the same city, on the same street. Which is this city?
",Las Vegas,New York,Las Vegas,Dubai,Paris
1166,"In the movie The Phantom of the Opera, what does Christine do to the Phantom before leaving with Raoul for the first time?
",She kisses him.,She puts his mask back on.,She sings for him.,She hugs him.,She kisses him.
3219,"The outbreak of what deadly disease is often referred to as Black Death?
",Plague,Tuberculosis,Plague,Malaria,Cholera
2324,"According to Hindu tradition, the fifth chakra, called Vishuddha and associated with the blue color, is located in this part of the body.
",Neck,Navel,Neck,Left ring finger,Mouth
372,"This is the third-largest island on the planet, and it is also known as Kalimantan.
",Borneo,Bali,Borneo,Taiwan,Java
1192,"Chromatin, found in the nucleus of a cell, consists of a complex of Deoxyribonucleic acid (DNA), the gene-carrying molecule. Which of the following types of chromatin is rich in genes?
",euchromatin,heterochromatin,euchromatin,facultative heterochromatin,constitutive heterochromatin
769,"What problem does Lorraine have in Back to the Future?
",Alcoholic,Alcoholic,Chain smoker,Unfaithful,Habitual liar
711,"What Disney movie are the following lines from: In every job that must be done, there is an element of fun. You find the fun, and - SNAP - the jobs a game!?
",Mary Poppins,Mary Poppins,The Rescuers Down Under,Toy Story,Sleeping Beauty
2618,"This halfback, who had a great college career at Michigan University, was the first player selected in the 1941 draft. His son married Mindy from Mork and Mindy.
",Tom Harmon,Harry Gilmer,Charley Trippi,Bill Dudley,Tom Harmon
4256,"What is sometimes served along with the thick tea called koicha at the Japanese tea ceremony?
",Tobacco,Sweets,Fish,Wasabi,Tobacco
160,"This is a traditional Scottish dish, boiled in a sheep’s stomach. Some of the main ingredients are sheep’s pluck, onion, salt and spices.
",Haggis,Ratatouille,Haggis,Marmite,Hot Pot
838,"Which statement about the development of Espresso is true?
",It was originally developed in the 20th century in Milan.,It was originally developed by a famous Seattle coffee house.,It was originally developed in France and was later refined in Italy.,It was originally developed in the 20th century in Milan.,It was originally developed by the Etruscans.
466,"In 1970, the American city of Denver was selected to host the 1976 winter Olympics, but the Games were moved to Innsbruck instead. Why?
",Coloradans voted not to pay the expenses associated with hosting the Olympics.,A massive strike by construction workers made it impossible to finish all the facilities in time.,The International Olympic Committee rescinded their decision when proof of bribery came to light.,Several countries threatened to boycott the games because of the U.S. involvement in Vietnam.,Coloradans voted not to pay the expenses associated with hosting the Olympics.
4721,"What was the relationship between Thomas Andrews, Titanics chief designer and Lord Pirrie, chairman of Harland and Wolff, the shipyard that built Titanic?
",nephew/uncle,son/father,cousins,nephew/uncle,father-in-law/son-in-law
1502,"Johnny Crawford never received an Emmy nomination.
",False,False,True,,
2268,"In what year was the movie Hoosiers released?
",1986,1986,1982,1972,1975
234,"In what year did Hulk Hogan make his debut in the World Wrestling Federation?
",1979,1980,1983,1977,1979
341,"How many times can a player trade in their levels at prestige mode in the first-person shooter Call of Duty 4?
",10,11,9,10,12
1086,"Barbara Bush, First Lady from 1989 to 1993, gave birth to six children.
",True,True,False,,
3641,"How many operas did Italian opera composer Giuseppe Verdi compose?
",28,12,54,28,35
1207,"In early 1997, John Denver filmed an episode for the Nature series, centering on the natural wonders that inspired many of his best-loved songs. The show contained his last song which he composed while rafting along the Colorado River with his son and daughter. What was the title of the song?
","Yellowstone, Coming Home","Yellowstone, Coming Home",Colorado Rivers Flow faster,"Yellowstone, the Grandest of Canyons",Yellowstone is My Home
662,"What Major League organization released Tim Wakefield, allowing him to sign as a free agent with the Red Sox?
",Pittsburgh Pirates,Philadelphia Phillies,San Diego Padres,Pittsburgh Pirates,Milwaukee Brewers
52,"Having in mind the mysterious background of Black Friday, it is quite natural that the TV series Friday the 13th were so popular. The main character, Jason, is one of the biggest celebrities in the world of horror movies. What is Jasons family name?
",Vorhees,Hardy,Vorhees,Christy,Burrell
620," lady you got the love I need 
",ybe more than enough. , Darling Darling Darling ...........,walk a while with me...,walk a while with me...,You really ought to know
677,"Hey, you stay away from the frozen foods section. Your boobsll harden is a bit of dialog from which movie?
",Big Daddy,Super Troopers,Half Baked,How High,Big Daddy
1073,"There are two countries in the world which are double-landlocked meaning they are surrounded by other landlocked countries. One is Uzbekistan. Name the other one which is a small principality in the European Alps.
",Liechtenstein,Andorra,Liechtenstein,Luxembourg,Monaco
1047,"What did Dick Francis do after the death of his wife?
",He began collaborating with his younger son Felix.,He began training racehorses.,He began collaborating with his older son Merrick.,None of these,He began collaborating with his younger son Felix.
4389,"In what 2009 musical film does Fergie from the Black Eyed Peas play a character named Saraghina?
",Nine,Eight,Ten,Nine,Seven
2187,"Which of these is an Abbott  Costello comedy horror movie, directed by Charles Barton and released in 1949?
","Abbott and Costello Meet the Killer, Boris Karloff","Abbott and Costello Meet the Killer, Boris Karloff",Abbott  Costello Meet Frankenstein,Abbott  Costello Meet Dr. Jekyll  Mr. Hyde,Abbott and Costello in the Foreign Legion
616,"In knock rummy, deciding whether to knock or go for gin can be difficult. Which of the following is INCORRECT?
","If you have reason to believe that your opponents unused cards are low cards, you should probably knock if you can.",Sometimes it makes sense to knock even if theres a strong possibility that your opponent will undercut you.,"If you wait for gin and your opponent knocks, you might be able to undercut her.","If you have reason to believe that your opponents unused cards are low cards, you should probably knock if you can.","If its early in the hand and you can knock, you probably should do so."
83,"How did the political life in England, Spain and France change as a result of the geographical discoveries?
",They turned into strong monarchies with rich and autocratic monarchs,Peasants rebelled and took over,The political life did not change significantly,They were weakened because their armies were spread thin on other continents,They turned into strong monarchies with rich and autocratic monarchs
1037,"Which member of the Tribulation Force dies at the end of the self-titled novel?
",Bruce,Buck,Bruce,Chloe,Rayford
953,"Which character on Friends had a third nipple which he/she called a nubbin?
",Chandler,Ross,Monica,Phoebe,Chandler
840,"What American impressionist painted the works Tea, The Boating Party, and Summertime?
",Mary Cassatt,Frank W. Benson,Alfred Sisley,Mary Cassatt,Childe Hassam
2206,"In an episode of the X-Men, titled “Unstoppable Juggernaut”, what mutant always ends up at the wrong place at the wrong time?
",Colussus,Wolverine,Beast,Colussus,Jubilee
526,"Which Death Eater killed Fred Weasley in Harry Potter and the Deathly Hallows?
",unknown by exact text,Yaxley,Bellatrix,unknown by exact text,Rookwood
2914,"Which of the following is not one of Marylands state nicknames?
",Garden State,Old Line State,Maryland does not have a state nickname.,Free State,Garden State
1450,"What field of medicine did Frank Burns specialize in the M*A*S*H series?
",Podiatry,Opthamology,Gynocology,Thoracic Surgery,Podiatry
3005,"Gilmore Girls character Rory never broke up with her boyfriends, they all broke up with her.
",True,True,False,,
1943,"Rococo is characterised by intricate patterns and asymmetric compositions.
",True,False,True,,
2831,"Bud Abbott and Lou Costello were a comedy team that lasted for 20 years, from the 1930s through the 1950s. What famous baseball routine are they best known for?
",Whos on First?,The Ump is Blind!,Whos on First?,Whos Playing Who?,Whos your Daddy?
1439,"This monarchs reign, one of the longest in European history, ended in 1715.
",Louis XIV,Louis XIV,King Charles II,King George III,Queen Victoria
4381,"What are the basic colors of the national flag of Venezuela?
","Yellow, blue, red","Yellow, blue, red",Blue and white,Yellow and Blue,"Green, yellow, black"
387,"Harry Potters middle name is James.
",True,False,True,,
1619,"The Safety Dance was a hit single in 1983 for this Canadian band.
",Men Without Hats,The Village People,Men at Work,Men Without Hats,Tears for Fears
255,"What was Cleopatras ethnic background?
",Macedonian,Roman,Macedonian,Upper Egyptian,Lower Egyptian
780,"In 1993 the Scottish hotel-owner Campbell Aird received a bionic organ, which was the first of its kind. This is the organ.
",Arm,Ear,Arm,Leg,Eye
2505,"Paige Fox, a character in the comic-strip FoxTrot, has always had a boyfriend.
",False,False,True,,
207,"American professional wrestler John Cena was born in Tampa, Florida in 1975.
",False,True,False,,
2599,"Who was the first preacher to become U.S. President?
",James Garfield,Warren G. Harding,Chester A. Arthur,James Garfield,Calvin Coolidge
730,"In AFIs list of movies, the Top Ten were all made from the 1930s to the 1990s, however no film on the Top Ten list was made in the 1980s.
",True,False,True,,
902,"The feathers of adult male ostriches are primarily of this color.
",Black,White,Gray,Brown,Black
1164,"Finish this old phrase:
","en you call a dog, he comes right over to you. When you call a cat, she________________.",takes a message,climbs the curtains,takes a message,thinks its dinner time
1073,"What is the name of the 1993 psychological thriller directed by Joseph Ruben and written by Ian McEwan, starring Macaulay Culkin?
",The Good Son,Faces Of Evil,The Good Son,Little Evil,My Only Son
543,"After Hurricane Katrina, evacuees from Louisiana, Mississippi, and Alabama were granted two months of food stamps and free gasoline from the Texas Department of Health and Human Services.
",False,False,True,,
2142,"Kobe Bryant was chosen as the 13th overall draft pick by the Los Angeles Lakers in 1996.
",False,False,True,,
999,"What does Inkspell character Dustfinger call Meggies father?
",Silvertongue,Smelly,Silvertongue,Killertongue,Bigfoot
2235,"Boris never starred with film Basil Rathbone (famous for his portrayal Sherlock Holmes)?
",False,True,False,,
155,"Which movie, for which Frank Sinatra was already cast, saw him pull out when he learned he would have to film each scene in two different technologies?
",Carousel,Carousel,My Fair Lady,Guys and Dolls,Oklahoma
1298,"Nostradamus, Martin Luther and Elizabeth I of England lived during what century?
",16th century AD,13th century AD,14th century AD,18th century AD,16th century AD
950,"According to the popular song, in what city is the House of the Rising Sun located?
",New Orleans,Lexington,New Orleans,San Francisco,Dallas
4643,"The song Burn, Burn by Lostprophets was used in the soundtrack of the game Need For Speed: Underground.
",False,False,True,,
586,"What vein is usually the first choice when selecting a site for venipuncture?
",Median Cubital,Median Cubital,Accessory Cephalic,Cephalic,Basilic
2483,"What was the reason for the Tenerife airplane disaster of March 27, 1977?
",Two airplanes collided on the runway before takeoff,The airplane crashed into a hospital,Two airplanes collided on the runway before takeoff,The airplane exploded in midair,Two airplanes collided in midair
1525,"One of the following pairs (flower - what it is a symbol of) is wrong.
",Daisies - Sin,Irises - Death,Red roses - Passion,Poppies - Consolation,Daisies - Sin
2075,"No team has ever entered the NCAA Mens Basketball Tournament undefeated.
",False,False,True,,
24,"In the Harry Potter books, Fred and George invented a lot of products for their store, Weasleys Wizard Wheezes.  Which of the following products was not one invited by Fred and George?
",Coughing Cakes,Self-Inking Quills,Fever Fudge,Coughing Cakes,Pygmy Puff
1676,"The actress who provided the voice of Norms wife on Cheers was the real life wife of the actor who portrayed Norm.
",True,True,False,,
86,"Which of the following maxims, meaning The people rule, is the official state motto of Arkansas?
",Regnat populus,Esto perpetua,Regnat populus,Dirigo,Ditat Deus
934,"Who was the first man to run a mile in under 4 minutes?
",Roger Bannister,Bill Hayes,Roger Bannister,Jim  Thorpe,Marcel Coe
1227,"In KF, you can cause the bloat to fight with the other specimens.
",True,False,True,,
419,"Between love and madness lies ...
",Obsession,Forever,Sexuality,Friendship,Obsession
1946,"How is the movie Casablanca linked to the end of the Curse of the Bambino and the Boston Red Sox World Series victory in 2004?
",The brothers who wrote Casablanca are related to the general manager of the Red Sox.,"Much of  Casablanca was originally shot in Florida, spring home of  the Red Sox.",The brothers who wrote Casablanca are related to the general manager of the Red Sox.,The director of  Casablanca also directed Field of Dreams with Kevin Costner.,"David Papi Ortiz, the Red Sox slugger, who grew up in the Dominican Republic, learned to speak English by watching the movie on tape."
1010,"This infielder came to the New York Mets from the Dodgers in December 1983.
",Ross Jones,Carlos Diaz,Billy Almon,Ross Jones,Buddy Biancalana
3667,"When was the movie Whats Love Got To Do With It released?
",1993,1996,1993,1995,1990
1161,"He played Dudley Frank in the 2007 movie, Wild Hogs and Tick Tock in the movie Seabiscuit.
",William H. Macy,William H. Macy,Strothers Martin,Tim Allen,Martin Lawrence
1187,"What movie about side show performers, released in 1932, was banned from the UK for 30 years?
",Freaks,Metropolis,Phantom of the Opera,Freaks,Scarface
2113,"After retiring from space flight in 1970, Neil Armstrong accepted a teaching position in the Department of Aerospace Engineering of this university.
",University of Cincinnati,Purdue University,Massachusetts Institute of Technology,University of Southern California,University of Cincinnati
633,"Which of these animals makes the loudest noise?
",The humpback whale,The humpback whale,The Andean condor,The whale shark,The howling monkey
2850,"A teaser commercial was released as a trailer for Resident Evil: Apocalypse. It was marketed as a skin care product to make you look younger. What was the name of the product?
",Regenerate,Regenerist,Fountain of Youth,Regenerate,Rejuvinate
3880,"What happens to Oliver and Barbara Rose at the end of the 1989 movie The War of the Roses?
",Both of them die.,Both of them die.,They reconcile and live happily ever after.,Barbara kills Oliver.,Oliver kills Barbara.
1960,"This Jewish-American comedian, who studied drama at Yale University, became popular in the 1970s, with his extensive routines about the Watergate scandal.
",Robert Klein,Robert Klein,Robert Sclimmel,George Carlin,Chris Rock
3001,"Which state is Detroit the capital of?
",None of these,Illinois,Idaho,Michigan,None of these
321,"As a general rule, the bigger a dog is the more it should be exercised (walks, playing fetch, etc.)
",True,True,False,,
749,"What team did Ozzie Smith play for before joining the St. Louis Cardinals in 1982?
",San Diego Padres,San Diego Padres,New York Mets,LA Dodgers,Oakland As
2045,"What is the name of the wheel-chair bound professor that comes between Kelly and Brandon on the show Beverly Hills, 90210?
",Professor Finely,Professor Nicholson,Professor Patricks,Professor Randall,Professor Finely
810,"This singer and her guitarist sister were greatly influenced by Led Zeppelin and rocked harder than most bands with female leads throughout the latter half of the 70s. The 80s revealed a kinder and gentler band with radio-friendly pop hits like Alone. The sound clip is from the bands Zeppelin influenced Love Alive. Name the lead singer of the band.
",Ann Wilson,Pheobe Snow,Ann Wilson,Janis Ian,Chrissie Hynde
2024,"In which country song can you find the following lyrics?
","dont know nothin bout tomorrow, Ive been lost since yesterday..I spent all my life just dyin for a love that passed away..",Killin Time,Life Gets Away,We Tell Ourselves,Half Way Up
1298,"George Washington was related to which other US President?
",James Madison,John Adams,William Henry Harrison,Thomas Jefferson,James Madison
2678,"Kids from Russia celebrate their birthday with a chocolate birthday cake.
",False,False,True,,
1148,"What did Susan Sarandon announce she would do if John McCain were elected President of the United States?
",She would move out of the country.,She would retire.,She would become a vegetarian.,She would move out of the country.,She would shave her head.
1376,"Where did Lilo find Stitch in the animated movie Lilo  Stitch?
",at the pound.,at the pound.,under a truck,in a gutter.,at the zoo.
2139,"A shade of what color is the color called jazzberry jam?
",Red-violet,Mint green,Golden brown,Fuchsia,Red-violet
1824,"In the movie Dont Tell Mom the Babysitters Dead, when the babysitter dies, the kids wrap her up in a rug and drag her to the trunk of the car.
",False,True,False,,
2193,"What does “escargot” mean in French?
",Snail,Fish,Snail,Cat,Dog
1677,"The largest country in the world, almost doubling the area of USA.  It lies on 17,075,200 sq. km. (6,592,772 sq. miles) of terrain, even though it sold Alaska to the USA in 1867 for $7.2 million.
",Russia,Russia,Canada,China,India
745,"What nickname was applied to the St. Louis Cardinals team of the 1934?
",Gashouse Gang,Flyin Birds,Whiz Kids,Gashouse Gang,Cardiac Kids
141,"What year did British rock band, Led Zeppelin release their first, self-titled album?
",1969,1969,1967,1968,1966
2572,"What quartet got its start on Johnny Cashs TV show?
",The Statler Brothers,The Tennessee Three,The Statesmen Quartet,The Oak Ridge Boys,The Statler Brothers
